Year,State,Text
1987-1988,Alabama,"""Intellectually identified Gifted"" students are those children and youth who highly refined as Possessing demonstrated or potential abilities for productive cognitive functioning (including creative or thinking) and who by reason thereof or activities not require services ordinarily provided by the school"
1987-1988,Arkansas,"In Arkansas, gifted and talented children and youth are identified as those of high potential or ability whose learning characteristics and educational needs require qualitatively differentiated educational experiences and/or services"
1987-1988,Georgia,The gifted student is one who demonstrates a high degree of intellectual ability and who needs special instruction and/or special ancillary services in order to achieve at levels commensurate with his/her intellectual ability.
1987-1988,Hawaii,"""Gifted and talented are children and youth whose superior performance or potential indicates possible giftedness in intellectual, creative, or specific academic abilities, leadership CAPABILITY, psychomotor ability, or talent in the performing and visual arts."""
1987-1988,Idaho,"Gifted/talented refers to those students who are identified as possessing demonstrated or potential abilities that give evidence of high performing capabilities in intellectual, creative, specific academic and/or leadership areas, or ability in the performing or visual arts."
1987-1988,Iowa,"""Gifted and talented children” are those identified as possessing outstanding abilities who are CAPABLE of high performance. Gifted and talented children are children who require appropriate instruction and education services commensurate with their abilities and needs beyond those provided by the regular school program. Gifted and talented children include those children with demonstrated achievement or potential ability, or both, in any of the following areas or in combination: (1) general intellectual ability; (2) creative thinking; (3) leadership ability; (4) visual and performing arts ability; and (5) specific ability aptitude"
1987-1988,Kansas,"Intellectually gifted children and youth are those who have potential for outstanding performance by virtue of superior intellectual abilities. ""Intellectually gifted means outstanding performance or potential for outstanding performance by virtue of superior intellectual abilities."" Both students with demonstrated achievement and students with minimal or low performance who give evidence of high potential in general intellectual ability, specific academic aptitudes, and/or creative thinking abilities are Included in this definition."
,, 
1987-1988,Kentucky,"Gifted children and youth are those who, by virtue of outstanding abilities, are CAPABLE of high performance and leadership and who have been identified by professionally qualified persons. These are pupils who require qualitatively differentiated educational programs and/or services beyond those normally provided by the regular school program in order to realize self fulfillment and to maximize their contribution to society."
1987-1988,Maine,"Gifted and talented children shall mean those children in grades K-12 who excel, or have the potential to excel, beyond their age peers, in the regular school program, to the extent that they need and can benefit from programs for the gifted and talented. Gifted and talented children shall receive specialized instruction through these programs if they have exceptional ability, aptitude, skill, or creativity in one or more of the following categories: 1. General Intellectual Ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in all academic areas. 2. Specific Academic Aptitude as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in one or more academic area(s). 3. Artistic Ability as shown by demonstrated significant achievement or potential for significant accomplishment above their age peers in the literary, performing, and/or visual arts. "
,,
1987-1988,Mississippi,"Gifted and talented children means children and youth who are identified at the preschool, elementary, or secondary level as possessing demonstrated or potential abilities that give evidence or high performance CAPABILITY in areas such as intellectual, creative, specific academic, or leadership ability, or in the visual and performing arts, and who by reason thereof, require educational services or activities not ordinarily provided by the school. "
